corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
QOC is saving this optimization run to ./out/00001_hamil_500_2_2_2.h5.
iter   |   total error  |    grads_l2   
 153   | 8.88398604e-01 | 5.52971738e-03
 154   | 8.88387173e-01 | 5.13430072e-03
 155   | 8.88373416e-01 | 4.61257300e-03
 156   | 8.88358980e-01 | 3.99261754e-03
 157   | 8.88345334e-01 | 3.30481219e-03
 158   | 8.88333626e-01 | 2.58132426e-03
 159   | 8.88324585e-01 | 1.85552400e-03
 160   | 8.88318503e-01 | 1.16583984e-03
 161   | 8.88315283e-01 | 5.95882681e-04
 162   | 8.88314520e-01 | 5.14231807e-04
 163   | 8.88315608e-01 | 9.26392173e-04
 164   | 8.88317853e-01 | 1.37137398e-03
 165   | 8.88320560e-01 | 1.75397756e-03
 166   | 8.88323120e-01 | 2.05300817e-03
 167   | 8.88325063e-01 | 2.26141386e-03
 168   | 8.88326094e-01 | 2.37894439e-03
 169   | 8.88326094e-01 | 2.41032528e-03
 170   | 8.88325106e-01 | 2.36380872e-03
 171   | 8.88323295e-01 | 2.24971355e-03
 172   | 8.88320902e-01 | 2.07950997e-03
 173   | 8.88318199e-01 | 1.86606174e-03
 174   | 8.88315453e-01 | 1.62560304e-03
 175   | 8.88312881e-01 | 1.38282891e-03
 176   | 8.88310628e-01 | 1.18270301e-03
 177   | 8.88308735e-01 | 1.10830504e-03
 178   | 8.88307100e-01 | 1.26314477e-03
 179   | 8.88305420e-01 | 1.69711986e-03
 180   | 8.88303040e-01 | 2.42847998e-03
 181   | 8.88298634e-01 | 3.52523755e-03
 182   | 8.88289471e-01 | 5.13252239e-03
 183   | 8.88269837e-01 | 7.48551615e-03
 184   | 8.88227591e-01 | 1.09368816e-02
 185   | 8.88136780e-01 | 1.60045357e-02
 186   | 8.87941933e-01 | 2.34438838e-02
 187   | 8.87525317e-01 | 3.43484352e-02
 188   | 8.86641562e-01 | 5.02747299e-02
 189   | 8.84798124e-01 | 7.33547125e-02
 190   | 8.81072914e-01 | 1.06252568e-01
 191   | 8.73932511e-01 | 1.51511703e-01
 192   | 8.61278937e-01 | 2.09190868e-01
 193   | 8.41125675e-01 | 2.71747218e-01
 194   | 8.13118319e-01 | 3.18961623e-01
 195   | 7.80350866e-01 | 3.21379515e-01
 196   | 7.50233151e-01 | 2.60818469e-01
 197   | 7.32279408e-01 | 1.79277987e-01
 198   | 7.30173615e-01 | 1.98468143e-01
 199   | 7.36337640e-01 | 2.69416831e-01
 200   | 7.41379395e-01 | 3.16659706e-01
 201   | 7.41004997e-01 | 3.41252274e-01
 202   | 7.34569196e-01 | 3.54370676e-01
 203   | 7.22813702e-01 | 3.63816816e-01
 204   | 7.06651866e-01 | 3.75469502e-01
 205   | 6.86473810e-01 | 3.93692008e-01
 206   | 6.61950756e-01 | 4.18119500e-01
 207   | 6.32652838e-01 | 4.40406310e-01
 208   | 5.99124524e-01 | 4.44569073e-01
 209   | 5.63842151e-01 | 4.10930038e-01
 210   | 5.31711931e-01 | 3.24973318e-01
 211   | 5.09155055e-01 | 1.94008025e-01
 212   | 5.00987129e-01 | 1.07132845e-01
 213   | 5.06616864e-01 | 2.08160572e-01
 214   | 5.19664838e-01 | 3.21542956e-01
 215   | 5.32381549e-01 | 3.93250838e-01
 216   | 5.39876309e-01 | 4.26141048e-01
 217   | 5.40706866e-01 | 4.29617660e-01
 218   | 5.35631027e-01 | 4.10263308e-01
 219   | 5.26502577e-01 | 3.71766656e-01
 220   | 5.15618310e-01 | 3.17662674e-01
 221   | 5.05225397e-01 | 2.54459716e-01
 222   | 4.97024006e-01 | 1.94192607e-01
 223   | 4.91776330e-01 | 1.54617275e-01
 224   | 4.89260045e-01 | 1.48023205e-01
 225   | 4.88622586e-01 | 1.63550531e-01
 226   | 4.88881077e-01 | 1.82992844e-01
 227   | 4.89255263e-01 | 1.98225140e-01
 228   | 4.89247960e-01 | 2.08017686e-01
 229   | 4.88586165e-01 | 2.12973426e-01
 230   | 4.87149763e-01 | 2.13393288e-01
 231   | 4.84935185e-01 | 2.08995411e-01
 232   | 4.82042403e-01 | 1.99331970e-01
 233   | 4.78663267e-01 | 1.84243299e-01
 234   | 4.75060346e-01 | 1.64203142e-01
 235   | 4.71532383e-01 | 1.40685615e-01
 236   | 4.68364260e-01 | 1.16721745e-01
 237   | 4.65765901e-01 | 9.75665779e-02
 238   | 4.63816805e-01 | 8.97982322e-02
 239   | 4.62440321e-01 | 9.55808794e-02
 240   | 4.61424767e-01 | 1.09223351e-01
 241   | 4.60488452e-01 | 1.23437506e-01
 242   | 4.59365192e-01 | 1.33594460e-01
 243   | 4.57878819e-01 | 1.37504292e-01
 244   | 4.55982736e-01 | 1.34596199e-01
 245   | 4.53756381e-01 | 1.25466090e-01
 246   | 4.51365469e-01 | 1.11702358e-01
 247   | 4.49002428e-01 | 9.58679688e-02
 248   | 4.46827071e-01 | 8.14889317e-02
 249   | 4.44925647e-01 | 7.24853399e-02
 250   | 4.43299103e-01 | 7.10034241e-02
 251   | 4.41880281e-01 | 7.52754554e-02
 252   | 4.40569294e-01 | 8.14030392e-02
 253   | 4.39271278e-01 | 8.63199834e-02
 254   | 4.37923039e-01 | 8.85404208e-02
 255   | 4.36502483e-01 | 8.77620030e-02
 256   | 4.35022768e-01 | 8.43914813e-02
 257   | 4.33518122e-01 | 7.91849651e-02
 258   | 4.32029056e-01 | 7.29943812e-02
 259   | 4.30591984e-01 | 6.66207037e-02
 260   | 4.29234296e-01 | 6.07740704e-02
 261   | 4.27973038e-01 | 5.60910231e-02
 262   | 4.26814794e-01 | 5.30941134e-02
 263   | 4.25755608e-01 | 5.20085295e-02
 264   | 4.24781545e-01 | 5.25550493e-02
 265   | 4.23871105e-01 | 5.39812155e-02
 266   | 4.23000011e-01 | 5.53592060e-02
 267   | 4.22147357e-01 | 5.59132541e-02
 268   | 4.21300898e-01 | 5.52162371e-02
 269   | 4.20459242e-01 | 5.32580828e-02
 270   | 4.19629983e-01 | 5.04274429e-02
 271   | 4.18824605e-01 | 4.74167593e-02
 272   | 4.18052405e-01 | 4.50269305e-02
 273   | 4.17315902e-01 | 4.38682382e-02
 274   | 4.16609340e-01 | 4.40900154e-02
 275   | 4.15920270e-01 | 4.53734967e-02
 276   | 4.15232955e-01 | 4.72031699e-02
 277   | 4.14531794e-01 | 4.91552123e-02
 278   | 4.13803436e-01 | 5.10205712e-02
 279   | 4.13037174e-01 | 5.27825046e-02
 280   | 4.12224081e-01 | 5.45331997e-02
 281   | 4.11355761e-01 | 5.63927998e-02
 282   | 4.10423358e-01 | 5.84620482e-02
 283   | 4.09417087e-01 | 6.08112579e-02
 284   | 4.08326074e-01 | 6.34881859e-02
 285   | 4.07138202e-01 | 6.65238753e-02
 286   | 4.05839808e-01 | 6.99275224e-02
 287   | 4.04415331e-01 | 7.36765389e-02
 288   | 4.02847193e-01 | 7.77139088e-02
 289   | 4.01116108e-01 | 8.19591741e-02
 290   | 3.99201846e-01 | 8.63289292e-02
 291   | 3.97084224e-01 | 9.07562380e-02
 292   | 3.94744042e-01 | 9.51992895e-02
 293   | 3.92163761e-01 | 9.96356302e-02
 294   | 3.89327948e-01 | 1.04045197e-01
 295   | 3.86223705e-01 | 1.08389782e-01
 296   | 3.82841421e-01 | 1.12596944e-01
 297   | 3.79176057e-01 | 1.16553279e-01
 298   | 3.75229057e-01 | 1.20107547e-01
 299   | 3.71010698e-01 | 1.23080941e-01
 300   | 3.66542553e-01 | 1.25281086e-01
 301   | 3.61859624e-01 | 1.26517705e-01
 302   | 3.57011655e-01 | 1.26619878e-01
 303   | 3.52063172e-01 | 1.25455970e-01
 304   | 3.47091821e-01 | 1.22957073e-01
 305   | 3.42184737e-01 | 1.19143350e-01
 306   | 3.37432916e-01 | 1.14150376e-01
 307   | 3.32923938e-01 | 1.08250193e-01
 308   | 3.28733818e-01 | 1.01859087e-01
 309   | 3.24919210e-01 | 9.55209269e-02
 310   | 3.21511303e-01 | 8.98518445e-02
 311   | 3.18512675e-01 | 8.54351435e-02
 312   | 3.15897786e-01 | 8.26780851e-02
 313   | 3.13617079e-01 | 8.16872973e-02
 314   | 3.11603869e-01 | 8.22431062e-02
 315   | 3.09782679e-01 | 8.38977114e-02
 316   | 3.08077531e-01 | 8.61307092e-02
 317   | 3.06418986e-01 | 8.84743449e-02
 318   | 3.04749177e-01 | 9.05732396e-02
 319   | 3.03024641e-01 | 9.21923855e-02
 320   | 3.01217158e-01 | 9.31999879e-02
 321   | 2.99313023e-01 | 9.35441097e-02
 322   | 2.97311234e-01 | 9.32319701e-02
 323   | 2.95221025e-01 | 9.23142226e-02
 324   | 2.93059102e-01 | 9.08734635e-02
 325   | 2.90846821e-01 | 8.90152814e-02
 326   | 2.88607545e-01 | 8.68602817e-02
 327   | 2.86364316e-01 | 8.45360773e-02
 328   | 2.84137981e-01 | 8.21688663e-02
 329   | 2.81945833e-01 | 7.98747969e-02
 330   | 2.79800807e-01 | 7.77517836e-02
 331   | 2.77711203e-01 | 7.58727644e-02
 332   | 2.75680854e-01 | 7.42814785e-02
 333   | 2.73709662e-01 | 7.29915887e-02
 334   | 2.71794364e-01 | 7.19893557e-02
 335   | 2.69929417e-01 | 7.12392649e-02
 336   | 2.68107904e-01 | 7.06913500e-02
 337   | 2.66322367e-01 | 7.02887403e-02
 338   | 2.64565515e-01 | 6.99742241e-02
 339   | 2.62830770e-01 | 6.96951896e-02
 340   | 2.61112653e-01 | 6.94068659e-02
 341   | 2.59406999e-01 | 6.90741479e-02
 342   | 2.57711034e-01 | 6.86723884e-02
 343   | 2.56023327e-01 | 6.81874532e-02
 344   | 2.54343651e-01 | 6.76151926e-02
 345   | 2.52672764e-01 | 6.69603819e-02
 346   | 2.51012153e-01 | 6.62351742e-02
 347   | 2.49363751e-01 | 6.54571742e-02
 348   | 2.47729676e-01 | 6.46473266e-02
 349   | 2.46111978e-01 | 6.38278553e-02
 350   | 2.44512449e-01 | 6.30204645e-02
 351   | 2.42932470e-01 | 6.22449251e-02
 352   | 2.41372925e-01 | 6.15180695e-02
 353   | 2.39834155e-01 | 6.08531444e-02
 354   | 2.38315962e-01 | 6.02594547e-02
 355   | 2.36817653e-01 | 5.97422587e-02
 356   | 2.35338100e-01 | 5.93029119e-02
 357   | 2.33875833e-01 | 5.89392633e-02
 358   | 2.32429131e-01 | 5.86462847e-02
 359   | 2.30996127e-01 | 5.84168614e-02
 360   | 2.29574897e-01 | 5.82426356e-02
 361   | 2.28163548e-01 | 5.81147906e-02
 362   | 2.26760282e-01 | 5.80246908e-02
 363   | 2.25363448e-01 | 5.79643455e-02
 364   | 2.23971579e-01 | 5.79267027e-02
 365   | 2.22583405e-01 | 5.79058089e-02
 366   | 2.21197859e-01 | 5.78968655e-02
 367   | 2.19814072e-01 | 5.78962085e-02
 368   | 2.18431351e-01 | 5.79012230e-02
 369   | 2.17049163e-01 | 5.79102045e-02
 370   | 2.15667106e-01 | 5.79221821e-02
 371   | 2.14284882e-01 | 5.79367223e-02
 372   | 2.12902274e-01 | 5.79537385e-02
 373   | 2.11519119e-01 | 5.79733214e-02
 374   | 2.10135293e-01 | 5.79956051e-02
 375   | 2.08750695e-01 | 5.80206708e-02
 376   | 2.07365234e-01 | 5.80484893e-02
 377   | 2.05978826e-01 | 5.80788976e-02
 378   | 2.04591389e-01 | 5.81116076e-02
 379   | 2.03202842e-01 | 5.81462390e-02
 380   | 2.01813109e-01 | 5.81823697e-02
 381   | 2.00422115e-01 | 5.82195942e-02
 382   | 1.99029793e-01 | 5.82575800e-02
 383   | 1.97636083e-01 | 5.82961143e-02
 384   | 1.96240933e-01 | 5.83351364e-02
 385   | 1.94844296e-01 | 5.83747539e-02
 386   | 1.93446127e-01 | 5.84152427e-02
 387   | 1.92046387e-01 | 5.84570324e-02
 388   | 1.90645031e-01 | 5.85006767e-02
 389   | 1.89242009e-01 | 5.85468120e-02
 390   | 1.87837263e-01 | 5.85961071e-02
 391   | 1.86430721e-01 | 5.86492092e-02
 392   | 1.85022298e-01 | 5.87066923e-02
 393   | 1.83611891e-01 | 5.87690154e-02
 394   | 1.82199381e-01 | 5.88364945e-02
 395   | 1.80784632e-01 | 5.89092897e-02
 396   | 1.79367495e-01 | 5.89874089e-02
 397   | 1.77947806e-01 | 5.90707229e-02
 398   | 1.76525389e-01 | 5.91589895e-02
 399   | 1.75100063e-01 | 5.92518833e-02
 400   | 1.73671638e-01 | 5.93490263e-02
 401   | 1.72239921e-01 | 5.94500176e-02
 402   | 1.70804717e-01 | 5.95544589e-02
 403   | 1.69365832e-01 | 5.96619749e-02
