corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
plaquette_terms_flags [[ 1 -1 -1  1]]
QOC is saving this optimization run to ./out/00000_hamil_500_3_2_2.h5.
iter   |   total error  |    grads_l2   
 196   | 8.86889050e-01 | 2.51973289e-03
 197   | 8.86885022e-01 | 2.22675362e-03
 198   | 8.86881034e-01 | 1.90557585e-03
 199   | 8.86877428e-01 | 1.60195870e-03
 200   | 8.86874383e-01 | 1.40984485e-03
 201   | 8.86871853e-01 | 1.48642478e-03
 202   | 8.86869454e-01 | 1.94921310e-03
 203   | 8.86866248e-01 | 2.81975246e-03
 204   | 8.86860244e-01 | 4.15856094e-03
 205   | 8.86847274e-01 | 6.13572167e-03
 206   | 8.86818493e-01 | 9.04620753e-03
 207   | 8.86754894e-01 | 1.33407598e-02
 208   | 8.86615491e-01 | 1.96839398e-02
 209   | 8.86312535e-01 | 2.90387586e-02
 210   | 8.85662401e-01 | 4.27683304e-02
 211   | 8.84298644e-01 | 6.27196603e-02
 212   | 8.81548956e-01 | 9.12151286e-02
 213   | 8.76324938e-01 | 1.30842985e-01
 214   | 8.67119757e-01 | 1.83832333e-01
 215   | 8.52183456e-01 | 2.50570667e-01
 216   | 8.29879459e-01 | 3.27100153e-01
 217   | 7.99266298e-01 | 4.02564840e-01
 218   | 7.60989722e-01 | 4.59407427e-01
 219   | 7.18018167e-01 | 4.81331699e-01
 220   | 6.74671263e-01 | 4.69807320e-01
 221   | 6.33383393e-01 | 4.45488615e-01
 222   | 5.94099389e-01 | 4.13586358e-01
 223   | 5.58908604e-01 | 3.57792149e-01
 224   | 5.33171757e-01 | 2.84919848e-01
 225   | 5.21260551e-01 | 2.54579234e-01
 226   | 5.22043722e-01 | 2.99564093e-01
 227   | 5.29412615e-01 | 3.60113191e-01
 228   | 5.36854336e-01 | 3.97723490e-01
 229   | 5.40453741e-01 | 4.09962951e-01
 230   | 5.39071420e-01 | 4.03185238e-01
 231   | 5.33376317e-01 | 3.82067810e-01
 232   | 5.24941285e-01 | 3.49232007e-01
 233   | 5.15610024e-01 | 3.07709834e-01
 234   | 5.06959610e-01 | 2.62580461e-01
 235   | 4.99927260e-01 | 2.20315477e-01
 236   | 4.94829301e-01 | 1.87108458e-01
 237   | 4.91641112e-01 | 1.68234826e-01
 238   | 4.90150423e-01 | 1.66571659e-01
 239   | 4.89933980e-01 | 1.79321465e-01
 240   | 4.90361354e-01 | 1.98904033e-01
 241   | 4.90705665e-01 | 2.17518324e-01
 242   | 4.90307002e-01 | 2.29523077e-01
 243   | 4.88736235e-01 | 2.31661055e-01
 244   | 4.85915968e-01 | 2.22833449e-01
 245   | 4.82138262e-01 | 2.03899977e-01
 246   | 4.77953874e-01 | 1.77534322e-01
 247   | 4.73978200e-01 | 1.48171077e-01
 248   | 4.70693615e-01 | 1.21957619e-01
 249   | 4.68317779e-01 | 1.05747625e-01
 250   | 4.66776707e-01 | 1.02933265e-01
 251   | 4.65781654e-01 | 1.09572660e-01
 252   | 4.64967488e-01 | 1.18722581e-01
 253   | 4.64025954e-01 | 1.25820468e-01
 254   | 4.62779963e-01 | 1.29141385e-01
 255   | 4.61187800e-01 | 1.28553803e-01
 256   | 4.59303722e-01 | 1.24528945e-01
 257   | 4.57229844e-01 | 1.17628230e-01
 258   | 4.55080399e-01 | 1.08394085e-01
 259   | 4.52962008e-01 | 9.75372387e-02
 260   | 4.50963570e-01 | 8.62828204e-02
 261   | 4.49148380e-01 | 7.66636376e-02
 262   | 4.47545562e-01 | 7.12600469e-02
 263   | 4.46143443e-01 | 7.16903702e-02
 264   | 4.44890377e-01 | 7.69120987e-02
 265   | 4.43707052e-01 | 8.39253495e-02
 266   | 4.42509036e-01 | 8.97755926e-02
 267   | 4.41232508e-01 | 9.25213737e-02
 268   | 4.39853446e-01 | 9.13273429e-02
 269   | 4.38392846e-01 | 8.63490063e-02
 270   | 4.36906336e-01 | 7.86215098e-02
 271   | 4.35462809e-01 | 6.99480130e-02
 272   | 4.34120588e-01 | 6.26394800e-02
 273   | 4.32909910e-01 | 5.87457383e-02
 274   | 4.31827356e-01 | 5.87656440e-02
 275   | 4.30842852e-01 | 6.12309293e-02
 276   | 4.29914962e-01 | 6.39443103e-02
 277   | 4.29007580e-01 | 6.52404891e-02
 278   | 4.28101621e-01 | 6.43446791e-02
 279   | 4.27198324e-01 | 6.12636441e-02
 280   | 4.26314611e-01 | 5.65887690e-02
 281   | 4.25473832e-01 | 5.12951515e-02
 282   | 4.24696245e-01 | 4.64978884e-02
 283   | 4.23992672e-01 | 4.31003023e-02
 284   | 4.23362827e-01 | 4.13974192e-02
 285   | 4.22797696e-01 | 4.09549084e-02
 286   | 4.22284085e-01 | 4.09501386e-02
 287   | 4.21809189e-01 | 4.06375458e-02
 288   | 4.21363708e-01 | 3.95826770e-02
 289   | 4.20943000e-01 | 3.76721926e-02
 290   | 4.20546599e-01 | 3.50353096e-02
 291   | 4.20176773e-01 | 3.19558264e-02
 292   | 4.19836802e-01 | 2.87964867e-02
 293   | 4.19529459e-01 | 2.59296031e-02
 294   | 4.19255954e-01 | 2.36578755e-02
 295   | 4.19015436e-01 | 2.21241247e-02
 296   | 4.18805070e-01 | 2.12543946e-02
 297   | 4.18620589e-01 | 2.07960695e-02
 298   | 4.18457163e-01 | 2.04366073e-02
 299   | 4.18310331e-01 | 1.99175056e-02
 300   | 4.18176716e-01 | 1.90926415e-02
 301   | 4.18054351e-01 | 1.79405185e-02
 302   | 4.17942520e-01 | 1.65543304e-02
 303   | 4.17841248e-01 | 1.51203494e-02
 304   | 4.17750623e-01 | 1.38782109e-02
 305   | 4.17670227e-01 | 1.30466706e-02
 306   | 4.17598859e-01 | 1.27217008e-02
 307   | 4.17534591e-01 | 1.28192081e-02
 308   | 4.17475123e-01 | 1.31312154e-02
 309   | 4.17418234e-01 | 1.34421380e-02
 310   | 4.17362184e-01 | 1.36089956e-02
 311   | 4.17305922e-01 | 1.35844612e-02
 312   | 4.17249055e-01 | 1.34066837e-02
 313   | 4.17191639e-01 | 1.31733943e-02
 314   | 4.17133875e-01 | 1.30050206e-02
 315   | 4.17075830e-01 | 1.30006287e-02
 316   | 4.17017257e-01 | 1.32006556e-02
 317   | 4.16957565e-01 | 1.35766449e-02
 318   | 4.16895909e-01 | 1.40536339e-02
 319   | 4.16831353e-01 | 1.45478144e-02
 320   | 4.16763045e-01 | 1.49977028e-02
 321   | 4.16690337e-01 | 1.53793374e-02
 322   | 4.16612814e-01 | 1.57064088e-02
 323   | 4.16530232e-01 | 1.60193048e-02
 324   | 4.16442395e-01 | 1.63675482e-02
 325   | 4.16349018e-01 | 1.67913311e-02
 326   | 4.16249628e-01 | 1.73088654e-02
 327   | 4.16143522e-01 | 1.79143233e-02
 328   | 4.16029803e-01 | 1.85859315e-02
 329   | 4.15907443e-01 | 1.92988969e-02
 330   | 4.15775367e-01 | 2.00367022e-02
 331   | 4.15632496e-01 | 2.07966607e-02
 332   | 4.15477740e-01 | 2.15889520e-02
 333   | 4.15309947e-01 | 2.24309566e-02
 334   | 4.15127822e-01 | 2.33400402e-02
 335   | 4.14929854e-01 | 2.43279544e-02
 336   | 4.14714263e-01 | 2.53987923e-02
 337   | 4.14478974e-01 | 2.65505637e-02
 338   | 4.14221631e-01 | 2.77788778e-02
 339   | 4.13939602e-01 | 2.90806829e-02
 340   | 4.13629979e-01 | 3.04565251e-02
 341   | 4.13289566e-01 | 3.19108227e-02
 342   | 4.12914830e-01 | 3.34505938e-02
 343   | 4.12501844e-01 | 3.50835682e-02
 344   | 4.12046231e-01 | 3.68165852e-02
 345   | 4.11543103e-01 | 3.86547917e-02
 346   | 4.10987015e-01 | 4.06016761e-02
 347   | 4.10371926e-01 | 4.26596255e-02
 348   | 4.09691166e-01 | 4.48305949e-02
 349   | 4.08937402e-01 | 4.71165780e-02
 350   | 4.08102602e-01 | 4.95197563e-02
 351   | 4.07178000e-01 | 5.20423677e-02
 352   | 4.06154071e-01 | 5.46864150e-02
 353   | 4.05020508e-01 | 5.74533313e-02
 354   | 4.03766213e-01 | 6.03436786e-02
 355   | 4.02379317e-01 | 6.33569035e-02
 356   | 4.00847208e-01 | 6.64911473e-02
 357   | 3.99156596e-01 | 6.97430922e-02
 358   | 3.97293605e-01 | 7.31078294e-02
 359   | 3.95243897e-01 | 7.65787320e-02
 360   | 3.92992838e-01 | 8.01473098e-02
 361   | 3.90525698e-01 | 8.38030196e-02
 362   | 3.87827906e-01 | 8.75329910e-02
 363   | 3.84885340e-01 | 9.13216193e-02
 364   | 3.81684689e-01 | 9.51499603e-02
 365   | 3.78213870e-01 | 9.89948398e-02
 366   | 3.74462535e-01 | 1.02827567e-01
 367   | 3.70422680e-01 | 1.06612123e-01
 368   | 3.66089400e-01 | 1.10302716e-01
 369   | 3.61461816e-01 | 1.13840640e-01
 370   | 3.56544249e-01 | 1.17150560e-01
 371   | 3.51347652e-01 | 1.20136564e-01
 372   | 3.45891360e-01 | 1.22678735e-01
 373   | 3.40205097e-01 | 1.24631461e-01
 374   | 3.34331138e-01 | 1.25825204e-01
 375   | 3.28326336e-01 | 1.26073860e-01
 376   | 3.22263564e-01 | 1.25189906e-01
 377   | 3.16231903e-01 | 1.23009069e-01
 378   | 3.10334814e-01 | 1.19424942e-01
 379   | 3.04685549e-01 | 1.14431849e-01
 380   | 2.99399424e-01 | 1.08171296e-01
 381   | 2.94583234e-01 | 1.00973668e-01
 382   | 2.90323021e-01 | 9.33816377e-02
 383   | 2.86672319e-01 | 8.61330080e-02
 384   | 2.83643522e-01 | 8.00684432e-02
 385   | 2.81204708e-01 | 7.59325533e-02
 386   | 2.79283183e-01 | 7.41047681e-02
 387   | 2.77775261e-01 | 7.44250527e-02
 388   | 2.76560231e-01 | 7.62792373e-02
 389   | 2.75515509e-01 | 7.88779452e-02
 390   | 2.74530096e-01 | 8.15102700e-02
 391   | 2.73514315e-01 | 8.36600114e-02
 392   | 2.72405034e-01 | 8.50139576e-02
 393   | 2.71166659e-01 | 8.54247925e-02
 394   | 2.69788799e-01 | 8.48672736e-02
 395   | 2.68281759e-01 | 8.34021788e-02
 396   | 2.66670918e-01 | 8.11502187e-02
 397   | 2.64990861e-01 | 7.82736012e-02
 398   | 2.63279880e-01 | 7.49619699e-02
 399   | 2.61575295e-01 | 7.14198752e-02
 400   | 2.59909848e-01 | 6.78538376e-02
 401   | 2.58309300e-01 | 6.44581121e-02
 402   | 2.56791220e-01 | 6.13994356e-02
 403   | 2.55364849e-01 | 5.88023713e-02
 404   | 2.54031815e-01 | 5.67381189e-02
 405   | 2.52787448e-01 | 5.52200971e-02
 406   | 2.51622416e-01 | 5.42083486e-02
 407   | 2.50524448e-01 | 5.36219991e-02
 408   | 2.49479941e-01 | 5.33561874e-02
 409   | 2.48475346e-01 | 5.32989248e-02
 410   | 2.47498244e-01 | 5.33445477e-02
 411   | 2.46538105e-01 | 5.34025385e-02
 412   | 2.45586736e-01 | 5.34021395e-02
 413   | 2.44638444e-01 | 5.32938585e-02
 414   | 2.43689963e-01 | 5.30489425e-02
 415   | 2.42740195e-01 | 5.26575899e-02
 416   | 2.41789815e-01 | 5.21263858e-02
 417   | 2.40840792e-01 | 5.14752401e-02
 418   | 2.39895885e-01 | 5.07340044e-02
 419   | 2.38958158e-01 | 4.99388889e-02
 420   | 2.38030548e-01 | 4.91287936e-02
 421   | 2.37115525e-01 | 4.83416889e-02
 422   | 2.36214849e-01 | 4.76112437e-02
 423   | 2.35329451e-01 | 4.69639668e-02
 424   | 2.34459402e-01 | 4.64171696e-02
 425   | 2.33603992e-01 | 4.59780235e-02
 426   | 2.32761864e-01 | 4.56438525e-02
 427   | 2.31931209e-01 | 4.54035929e-02
 428   | 2.31109965e-01 | 4.52401347e-02
 429   | 2.30296028e-01 | 4.51331149e-02
 430   | 2.29487421e-01 | 4.50617025e-02
 431   | 2.28682439e-01 | 4.50069902e-02
 432   | 2.27879730e-01 | 4.49537465e-02
 433   | 2.27078344e-01 | 4.48914275e-02
 434   | 2.26277718e-01 | 4.48144657e-02
 435   | 2.25477635e-01 | 4.47219351e-02
 436   | 2.24678152e-01 | 4.46167357e-02
 437   | 2.23879513e-01 | 4.45044667e-02
 438   | 2.23082053e-01 | 4.43921624e-02
 439   | 2.22286120e-01 | 4.42870589e-02
 440   | 2.21492000e-01 | 4.41955393e-02
 441   | 2.20699869e-01 | 4.41223638e-02
 442   | 2.19909768e-01 | 4.40702414e-02
 443   | 2.19121593e-01 | 4.40397433e-02
 444   | 2.18335110e-01 | 4.40295090e-02
 445   | 2.17549978e-01 | 4.40366641e-02
 446   | 2.16765784e-01 | 4.40573555e-02
 447   | 2.15982080e-01 | 4.40873161e-02
 448   | 2.15198415e-01 | 4.41223892e-02
 449   | 2.14414366e-01 | 4.41589634e-02
 450   | 2.13629558e-01 | 4.41942868e-02
 451   | 2.12843676e-01 | 4.42266472e-02
 452   | 2.12056468e-01 | 4.42554173e-02
 453   | 2.11267740e-01 | 4.42809751e-02
 454   | 2.10477344e-01 | 4.43045227e-02
 455   | 2.09685165e-01 | 4.43278351e-02
 456   | 2.08891102e-01 | 4.43529796e-02
 457   | 2.08095053e-01 | 4.43820451e-02
 458   | 2.07296903e-01 | 4.44169160e-02
 459   | 2.06496514e-01 | 4.44591157e-02
 460   | 2.05693719e-01 | 4.45097283e-02
 461   | 2.04888321e-01 | 4.45693942e-02
 462   | 2.04080097e-01 | 4.46383664e-02
 463   | 2.03268799e-01 | 4.47166033e-02
 464   | 2.02454163e-01 | 4.48038785e-02
 465   | 2.01635913e-01 | 4.48998877e-02
 466   | 2.00813767e-01 | 4.50043368e-02
 467   | 1.99987439e-01 | 4.51170052e-02
 468   | 1.99156645e-01 | 4.52377797e-02
 469   | 1.98321100e-01 | 4.53666613e-02
 470   | 1.97480520e-01 | 4.55037487e-02
